epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,437.827,0.75054,1.2068,0.90761,0.73826,0.65184,0.77028,0.61926,0.82421,1.04039,0.93264,0.00016655,0.00016655,0.00016655
93,442.103,0.75776,1.18495,0.91263,0.80754,0.71368,0.83043,0.67013,0.81308,0.95379,0.93323,0.000163798,0.000163798,0.000163798
94,448.113,0.75488,1.17878,0.9033,0.76551,0.69082,0.79842,0.64676,0.8125,0.97845,0.926,0.000161045,0.000161045,0.000161045
95,452.753,0.74283,1.22424,0.89267,0.7805,0.70607,0.80927,0.65235,0.82338,0.96912,0.93234,0.000158293,0.000158293,0.000158293
96,456.776,0.74158,1.20363,0.89801,0.74005,0.73823,0.80459,0.64422,0.83032,0.9347,0.93938,0.000155541,0.000155541,0.000155541
97,460.763,0.74756,1.1867,0.89762,0.67347,0.74913,0.78485,0.62882,0.82249,0.97555,0.9399,0.000152789,0.000152789,0.000152789
98,464.981,0.74586,1.1631,0.90154,0.80968,0.66576,0.77906,0.61896,0.8199,0.96021,0.93353,0.000150037,0.000150037,0.000150037
99,469.31,0.72558,1.13221,0.89974,0.81632,0.65162,0.80061,0.64299,0.82027,0.94146,0.93056,0.000147284,0.000147284,0.000147284
100,474.164,0.73397,1.17424,0.89821,0.73523,0.73165,0.80587,0.65375,0.81441,0.96373,0.92374,0.000144532,0.000144532,0.000144532
101,478.525,0.7128,1.11582,0.88838,0.70874,0.73281,0.79171,0.64177,0.81945,0.97646,0.92683,0.00014178,0.00014178,0.00014178
102,483.795,0.73438,1.13111,0.89089,0.78622,0.68277,0.80679,0.65273,0.80751,0.9588,0.91983,0.000139028,0.000139028,0.000139028
103,487.819,0.73068,1.13455,0.89297,0.78291,0.69662,0.79622,0.64363,0.80927,0.9715,0.92494,0.000136276,0.000136276,0.000136276
104,492.272,0.7333,1.11306,0.89995,0.779,0.70916,0.79446,0.65315,0.80121,0.91731,0.92018,0.000133523,0.000133523,0.000133523
105,497.105,0.73944,1.13331,0.89516,0.74392,0.74713,0.83008,0.68393,0.80014,0.9362,0.92892,0.000130771,0.000130771,0.000130771
106,501.764,0.73377,1.12435,0.89151,0.73401,0.70185,0.78123,0.6366,0.81444,1.02022,0.92897,0.000128019,0.000128019,0.000128019
